GameNum,Date,Time,SeatNum,Round,Player,StartStack,CurrentStack,Action,Amount,AllIn,CurrentBet,CurrentPot,InvestedThisRound,NumPlayersLeft,SmallBlind,BigBlind,Table,Dealer,NumPlayers,LenBoard,HoleCard1,HoleCard2,Board1,Board2,Board3,Board4,Board5,SeatRelDealer,BasicAction,bet,blind,call,check,deadblind,fold,raise,IsAgg,IsPas
ftp-26325665694,2009-07-02,17:37:37,1,Preflop,LlZWNRKztn2x+tHklWpNwQ,171.48,171.48,blind,0.4,False,0.0,0.0,0.0,9,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,6,blind,0,1,0,0,0,0,0,False,True
ftp-26325665694,2009-07-02,17:37:37,2,Preflop,1MfmAyD+j5SiAc28mnJi8A,263.28,263.28,blind,1.0,False,0.4,0.4,0.0,9,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,5,blind,0,1,0,0,0,0,0,False,True
ftp-26325665694,2009-07-02,17:37:37,3,Preflop,IoLDvFJhMz44M6Is31rIAg,96.0,96.0,fold,0.0,False,1.0,1.4,0.0,9,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,4,fold,0,0,0,0,0,1,0,False,True
ftp-26325665694,2009-07-02,17:37:37,4,Preflop,ISDY8nyOWbJ4xudM6lsGYQ,164.16,164.16,fold,0.0,False,1.0,1.4,0.0,8,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,3,fold,0,0,0,0,0,1,0,False,True
ftp-26325665694,2009-07-02,17:37:37,5,Preflop,/XswgqiP00i5luBYghwBjQ,101.4,101.4,fold,0.0,False,1.0,1.4,0.0,7,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,2,fold,0,0,0,0,0,1,0,False,True
ftp-26325665694,2009-07-02,17:37:37,6,Preflop,zOXKksJ83qXMVPvlCMNOxg,200.0,200.0,fold,0.0,False,1.0,1.4,0.0,6,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,1,fold,0,0,0,0,0,1,0,False,True
ftp-26325665694,2009-07-02,17:37:37,7,Preflop,/51G7tWWpQlCS2v5t6cwjQ,60.0,60.0,fold,0.0,False,1.0,1.4,0.0,5,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,0,fold,0,0,0,0,0,1,0,False,True
ftp-26325665694,2009-07-02,17:37:37,8,Preflop,qJgpzHS3vV9GaS9QmGm59A,147.04,147.04,fold,0.0,False,1.0,1.4,0.0,4,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,1,fold,0,0,0,0,0,1,0,False,True
ftp-26325665694,2009-07-02,17:37:37,1,Preflop,LlZWNRKztn2x+tHklWpNwQ,171.48,171.08,fold,0.0,False,1.0,1.4,0.0,3,0.1,0.25,Tdh/7Llmowopzxmzj7Q6Ow,7,9,0,,,,,,,,6,fold,0,0,0,0,0,1,0,False,True
ftp-26325670528,2009-07-02,17:37:44,3,Preflop,OqVYDBkNL8ClJzQKysFvTw,62.48,62.48,blind,0.4,False,0.0,0.0,0.0,6,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,43.0,41.0,,,,,,2,blind,0,1,0,0,0,0,0,False,True
ftp-26325670528,2009-07-02,17:37:44,4,Preflop,y1cgqbImyNeIBV2S0w3slg,92.56,92.56,blind,1.0,False,0.4,0.4,0.0,6,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,,,,,,,,3,blind,0,1,0,0,0,0,0,False,True
ftp-26325670528,2009-07-02,17:37:44,5,Preflop,mbbu2M2TNLBhVnx1iClY2g,107.8,107.8,fold,0.0,False,1.0,1.4,0.0,6,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,,,,,,,,4,fold,0,0,0,0,0,1,0,False,True
ftp-26325670528,2009-07-02,17:37:44,6,Preflop,NPiiSSyohKGe47CZqe88NA,118.44,118.44,call,1.0,False,1.0,1.4,0.0,5,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,,,,,,,,5,call,0,0,1,0,0,0,0,False,True
ftp-26325670528,2009-07-02,17:37:44,1,Preflop,Leq4/xIudAEdMyngRJB9rg,174.28,174.28,fold,0.0,False,1.0,2.4,0.0,5,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,,,,,,,,0,fold,0,0,0,0,0,1,0,False,True
ftp-26325670528,2009-07-02,17:37:44,2,Preflop,NSFJ9oMzye0/IYdI+wQaHA,25.88,25.88,fold,0.0,False,1.0,2.4,0.0,4,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,,,,,,,,1,fold,0,0,0,0,0,1,0,False,True
ftp-26325670528,2009-07-02,17:37:44,3,Preflop,OqVYDBkNL8ClJzQKysFvTw,62.48,62.08,raise,6.0,False,1.0,2.4,0.0,3,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,43.0,41.0,,,,,,2,raise,0,0,0,0,0,0,1,True,False
ftp-26325670528,2009-07-02,17:37:44,4,Preflop,y1cgqbImyNeIBV2S0w3slg,92.56,91.56,fold,0.0,False,6.0,8.4,0.0,3,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,,,,,,,,3,fold,0,0,0,0,0,1,0,False,True
ftp-26325670528,2009-07-02,17:37:44,6,Preflop,NPiiSSyohKGe47CZqe88NA,118.44,117.44,fold,0.0,False,6.0,8.4,1.0,2,0.1,0.25,G34Uiqrscedn7Shin+Ke0A,1,6,0,,,,,,,,5,fold,0,0,0,0,0,1,0,False,True
